nombre,categoria,marca,codigo_barras,precio_venta,precio_costo,stock,stock_minimo
"Arcadia lámpara UVB 12% Desértico 46"" 1.15m",General,,844046006547,925.0,925.0,2.0,0.0
"Arcadia lámpara UVB 6% Tropical 46"" 1.15 m",General,,,925.0,925.0,2.0,0.0
Arcadia Compact foco 13W UVB 7% Tropical,General,,5060127656677,790.0,790.0,2.0,0.0
"Arcadia ProT5 uvb kit 6% Tropical 22"" 55cm",General,,,2250.0,2250.0,2.0,0.0
"Arcadia ProT5 uvb kit 6% Tropical 34"" 85cm",General,,,2775.0,2775.0,1.0,0.0
"Arcadia ProT5 uvb kit 12% Desértico 34"" 85cm",General,,,2775.0,2775.0,2.0,0.0
"Arcadia ProT5 uvb kit 12% Desértico 46"" 1.15m",General,,,2895.0,2895.0,2.0,0.0
Roca,General,,,45.0,45.0,0,0
Insect Menu Falkes 20g,General,,,70.0,70.0,0,0
Rasbora Harlequin,General,,,150.0,150.0,0,0
Sow - 4,General,,,1450.0,1450.0,0,0
Red Star reactor de medios,General,,,2300.0,2300.0,0,0
Aquamaxx mini reactor de calcio,General,,,4000.0,4000.0,0,0
Tornado 10000,General,,,3300.0,3300.0,0,0
Bomba Tornado 20000,Mantis,Mantis,,5800.0,5800.0,0,0
Bomba Tornado 25000,Mantis,Mantis,,6300.0,6300.0,0,0
Bomba Tornado 30000,Mantis,Mantis,,7000.0,7000.0,0,0
af pinzas de fibra de carbono,Aqua Forest,Aqua Forest,,480.0,480.0,0,0
pegamento tubito,AZOO,AZOO,4719856838106,60.0,60.0,0,0
sal de 1k,General,,,160.0,160.0,0,0
Lampara Panoramica 50cm Sunny,Sunny,Sunny,,420.0,330.0,0,0
Lampara Sunny 50cm,Sunny,Sunny,,370.0,292.0,0,0
Repuesto fibra canister SCF-1000-1200,Sunny,Sunny,,80.0,635.0,0,0
Repuesto esponja canister SCF-800,Sunny,Sunny,,135.0,107.0,0,0
Esponja repuesto canister SCF-1000-12000,Sunny,Sunny,,160.0,126.0,0,0
Repuesto cartucho carbon SHF-100,Sunny,Sunny,,20.0,16.0,0,0
Pounch Feeder,General,,,500.0,500.0,0,0
Repuesto cartucho carbon sunny SHF-400,Sunny,Sunny,,40.0,29.0,0,0
BRS Triple Di Saver,General,,,4500.0,4500.0,0,0
"Repuesto cartucho carbon sunny SHF-600,SHF-1000",General,,,45.0,36.0,0,0
Aquaclear 20 Cabeza de Poder,General,,,880.0,880.0,0,0
Orbit 4,General,,,6400.0,6400.0,0,0
Orbit 2,General,,,5600.0,5600.0,0,0
Hydra Edge 68 HD,General,,,14000.0,14000.0,0,0
Hydra Edge 44 HD,General,,,8000.0,8000.0,0,0
Hydra 16 HD,General,,,5300.0,5300.0,0,0
Axis 90,General,,704335295130,3400.0,3400.0,0,0
Axis 40,General,,704335295123,2600.0,2600.0,0,0
Tropical PRO DEFENCE SIZE M 440 g,Tropical,Tropical,,520.0,412.0,0,0
Medicoral 60 ml,General,,810086011780,650.0,650.0,0,0
Phyto Green-M Fitoplancton 500 ml,General,,810086010769,800.0,800.0,0,0
Boost pH+ 500 ml,General,,810086012336,320.0,320.0,0,0
MediCoral Coral Dip - 30 ml,General,,810086011773,380.0,380.0,0,0
Alkalin 8.3 KH Buffer 500 ml,General,,810086010066,300.0,300.0,0,0
Reef BioFuel 250 ml,General,,810086012299,380.0,380.0,0,0
Reef BioFuel 500 ml,General,,810086012305,550.0,550.0,0,0
Phosphat-E 500 ml,General,,810086011445,1050.0,1050.0,0,0
PhytoChrom 500 ml,Brightwell aquatics,Brightwell aquatics,810086011353,600.0,600.0,0,0
PhytoChrom 250 ml,Brightwell aquatics,Brightwell aquatics,810086011346,300.0,300.0,0,0
Reef Vane - 25,General,,,2900.0,2900.0,0,0
Canister 250 Week Aqua,General,,,3000.0,3000.0,0,0
Canister 900 Week Aqua,General,,,6500.0,6500.0,0,0
Nano Touch 20 l Lomas,General,,,2000.0,2000.0,0,0
SUNSUN LED ADT - 2 SERIES,General,,,800.0,800.0,0,0
Aquarium Magnetic Glass Cleaner,General,,7502234336144,100.0,100.0,0,0
KW Reactor 300,General,,,1800.0,1800.0,0,0
Base Elements Core 7 Flex 4x4l,Triton,Triton,4260414720925,3600.0,2700.0,0,0
Sulphate 1 Kg,Triton,Triton,4260414720871,1120.0,850.0,0,0
Potassium 1 Kg,Triton,Triton,4260414720857,860.0,650.0,0,0
CaCl2 4 Kg,Triton,Triton,4260414720369,1400.0,1050.0,0,0
MgCl2 4 Kg,Triton,Triton,4260414720376,1400.0,1050.0,0,0
NaHCO3 4 Kg,Triton,Triton,4260414720383,1400.0,1050.0,0,0
Cobalt 100 ml,Triton,Triton,4260414720192,840.0,650.0,0,0
Nickel 100 ml,Triton,Triton,4260414720246,650.0,650.0,0,0
Molybdenum 100 ml,Triton,Triton,4260414720239,840.0,650.0,0,0
Zinc 100 ml,Triton,Triton,4260414720222,650.0,650.0,0,0
Iodine 100 ml,Triton,Triton,4260414720215,650.0,650.0,0,0
RTN - X 100 ml,Triton,Triton,4260414720826,1080.0,820.0,0,0
STN - X 100 ml,Triton,Triton,4260414720819,1080.0,820.0,0,0
